Clans,Pfam_List,Pfam_List_in_combine
CL0106,"['PF00393', 'PF00725', 'PF00984', 'PF01450', 'PF02317', 'PF03201', 'PF07479', 'PF08125', 'PF08546', 'PF09130', 'PF10728', 'PF14748', 'PF14833', 'PF20463', 'PF20618', 'PF21761']","['PF00393', 'PF00725', 'PF00984', 'PF07479', 'PF14748', 'PF14833']"
CL0108,"['PF00012', 'PF00022', 'PF00349', 'PF00370', 'PF00480', 'PF00814', 'PF00871', 'PF01150', 'PF01869', 'PF01968', 'PF02541', 'PF02543', 'PF02685', 'PF02782', 'PF03309', 'PF03630', 'PF03702', 'PF03727', 'PF05134', 'PF05378', 'PF06050', 'PF06277', 'PF06406', 'PF06723', 'PF07318', 'PF08841', 'PF09989', 'PF11104', 'PF13941', 'PF14450', 'PF14574', 'PF17003', 'PF17788', 'PF17989', 'PF21522', 'PF21523', 'PF21546']","['PF00814', 'PF01150', 'PF01869', 'PF01968', 'PF03630', 'PF05378']"
CL0109,"['PF00383', 'PF01808', 'PF02137', 'PF02634', 'PF05240', 'PF06230', 'PF08210', 'PF08211', 'PF08973', 'PF14421', 'PF14424', 'PF14427', 'PF14428', 'PF14431', 'PF14432', 'PF14437', 'PF14439', 'PF14440', 'PF14441', 'PF18744', 'PF18745', 'PF18749', 'PF18750', 'PF18752', 'PF18767', 'PF18769', 'PF18771', 'PF18772', 'PF18774', 'PF18775', 'PF18778', 'PF18782', 'PF18785', 'PF20921', 'PF21125']","['PF01808', 'PF02137', 'PF08210', 'PF18771', 'PF18774']"
CL0110,"['PF00483', 'PF00535', 'PF01128', 'PF01501', 'PF01644', 'PF01697', 'PF01704', 'PF01755', 'PF01762', 'PF01793', 'PF01983', 'PF02348', 'PF02434', 'PF02485', 'PF02709', 'PF03071', 'PF03142', 'PF03213', 'PF03214', 'PF03314', 'PF03360', 'PF03385', 'PF03407', 'PF03414', 'PF03452', 'PF03552', 'PF04488', 'PF04646', 'PF04765', 'PF05060', 'PF05212', 'PF05637', 'PF05679', 'PF05704', 'PF06306', 'PF06427', 'PF09258', 'PF09488', 'PF09837', 'PF10111', 'PF11051', 'PF11316', 'PF11397', 'PF12804', 'PF12919', 'PF13506', 'PF13632', 'PF13641', 'PF13704', 'PF13712', 'PF13733', 'PF13896', 'PF16849', 'PF18404', 'PF20202', 'PF20691']","['PF01128', 'PF01501', 'PF01704', 'PF01755', 'PF02348', 'PF02434', 'PF02485', 'PF02709', 'PF03071', 'PF03360', 'PF03414', 'PF04488', 'PF05060', 'PF05679', 'PF06427', 'PF09258', 'PF13506', 'PF13733', 'PF18404']"
CL0111,"['PF02364', 'PF02366', 'PF02516', 'PF03155', 'PF03901', 'PF04188', 'PF04602', 'PF04922', 'PF05007', 'PF05208', 'PF06728', 'PF09586', 'PF09594', 'PF09852', 'PF09913', 'PF10034', 'PF10060', 'PF10131', 'PF11028', 'PF11847', 'PF12250', 'PF13231', 'PF14264', 'PF14897']","['PF02366', 'PF02516', 'PF03155', 'PF03901', 'PF04188', 'PF04922', 'PF05007', 'PF05208', 'PF10034', 'PF11028']"
CL0112,"['PF03878', 'PF04893', 'PF06304', 'PF06570', 'PF06691', 'PF08006']","['PF03878', 'PF04893']"
CL0113,"['PF00201', 'PF00343', 'PF00534', 'PF00852', 'PF00862', 'PF00982', 'PF01075', 'PF01531', 'PF02350', 'PF02684', 'PF03033', 'PF03481', 'PF04007', 'PF04101', 'PF04230', 'PF04413', 'PF04464', 'PF05159', 'PF05686', 'PF05693', 'PF05830', 'PF06258', 'PF06722', 'PF06925', 'PF07388', 'PF07429', 'PF07922', 'PF08288', 'PF08323', 'PF08660', 'PF09198', 'PF09314', 'PF10250', 'PF10933', 'PF11440', 'PF11477', 'PF11997', 'PF12000', 'PF13439', 'PF13477', 'PF13524', 'PF13528', 'PF13579', 'PF13692', 'PF13844', 'PF15924', 'PF16993', 'PF16994', 'PF18025', 'PF19745', 'PF20471', 'PF20706', 'PF21036', 'PF21269', 'PF21374']","['PF00343', 'PF00852', 'PF01531', 'PF02350', 'PF04101', 'PF05686', 'PF05693', 'PF08288', 'PF08660', 'PF10250', 'PF13844', 'PF15924', 'PF19745']"
CL0114,"['PF00505', 'PF04690', 'PF04769', 'PF06244', 'PF06382', 'PF08073', 'PF09011', 'PF14887']","['PF06244', 'PF08073', 'PF09011', 'PF14887']"
CL0115,"['PF01222', 'PF02544', 'PF04140', 'PF04191', 'PF06966', 'PF07298']","['PF01222', 'PF02544', 'PF04140', 'PF04191']"
CL0116,"['PF00061', 'PF02087', 'PF02098', 'PF03724', 'PF03973', 'PF04170', 'PF04755', 'PF05870', 'PF06206', 'PF07137', 'PF07143', 'PF07617', 'PF08212', 'PF08622', 'PF08768', 'PF09148', 'PF09223', 'PF09367', 'PF09917', 'PF10285', 'PF10703', 'PF11032', 'PF11441', 'PF11631', 'PF12182', 'PF12204', 'PF12702', 'PF12915', 'PF13648', 'PF13761', 'PF13924', 'PF13944', 'PF14651', 'PF14869', 'PF16103', 'PF16139', 'PF16270', 'PF16369', 'PF16395', 'PF16585', 'PF17186', 'PF17187', 'PF17409', 'PF18663', 'PF18692', 'PF21053']","['PF08212', 'PF08768', 'PF11032']"
CL0117,"['PF00021', 'PF00087', 'PF01064', 'PF02988', 'PF05444', 'PF06211', 'PF06579', 'PF08917', 'PF15851', 'PF16975', 'PF17064', 'PF19017']","['PF00021', 'PF00087', 'PF01064', 'PF02988', 'PF06211', 'PF08917', 'PF15851']"
CL0118,"['PF00294', 'PF01256', 'PF02110', 'PF04587', 'PF08543']",['PF04587']
CL0123,"['PF00046', 'PF00126', 'PF00157', 'PF00165', 'PF00178', 'PF00196', 'PF00249', 'PF00250', 'PF00292', 'PF00325', 'PF00356', 'PF00376', 'PF00392', 'PF00440', 'PF00447', 'PF00486', 'PF00538', 'PF00605', 'PF00610', 'PF00674', 'PF01022', 'PF01035', 'PF01047', 'PF01051', 'PF01084', 'PF01090', 'PF01285', 'PF01316', 'PF01325', 'PF01371', 'PF01381', 'PF01388', 'PF01399', 'PF01418', 'PF01454', 'PF01475', 'PF01498', 'PF01527', 'PF01638', 'PF01710', 'PF01726', 'PF01873', 'PF01922', 'PF01978', 'PF02001', 'PF02002', 'PF02022', 'PF02082', 'PF02186', 'PF02257', 'PF02270', 'PF02295', 'PF02316', 'PF02319', 'PF02334', 'PF02376', 'PF02437', 'PF02650', 'PF02742', 'PF02787', 'PF02796', 'PF02954', 'PF02978', 'PF02980', 'PF02981', 'PF03221', 'PF03288', 'PF03297', 'PF03333', 'PF03399', 'PF03428', 'PF03444', 'PF03484', 'PF03501', 'PF03551', 'PF03634', 'PF03683', 'PF03882', 'PF03962', 'PF03965', 'PF04079', 'PF04157', 'PF04182', 'PF04218', 'PF04255', 'PF04256', 'PF04288', 'PF04297', 'PF04337', 'PF04358', 'PF04383', 'PF04408', 'PF04433', 'PF04492', 'PF04504', 'PF04512', 'PF04539', 'PF04542', 'PF04545', 'PF04546', 'PF04552', 'PF04703', 'PF04760', 'PF04796', 'PF04814', 'PF04963', 'PF04967', 'PF05043', 'PF05044', 'PF05066', 'PF05158', 'PF05181', 'PF05225', 'PF05263', 'PF05269', 'PF05331', 'PF05339', 'PF05383', 'PF05402', 'PF05491', 'PF05584', 'PF05645', 'PF05732', 'PF05793', 'PF05848', 'PF05871', 'PF05920', 'PF05930', 'PF06056', 'PF06078', 'PF06163', 'PF06224', 'PF06322', 'PF06413', 'PF06504', 'PF06530', 'PF06576', 'PF06627', 'PF06806', 'PF06969', 'PF06970', 'PF06971', 'PF07022', 'PF07037', 'PF07042', 'PF07106', 'PF07120', 'PF07160', 'PF07180', 'PF07278', 'PF07374', 'PF07381', 'PF07453', 'PF07471', 'PF07506', 'PF07508', 'PF07515', 'PF07574', 'PF07638', 'PF07750', 'PF07825', 'PF07848', 'PF07900', 'PF08100', 'PF08220', 'PF08221', 'PF08222', 'PF08279', 'PF08280', 'PF08281', 'PF08299', 'PF08461', 'PF08535', 'PF08667', 'PF08671', 'PF08672', 'PF08679', 'PF08721', 'PF08765', 'PF08784', 'PF08822', 'PF08839', 'PF08849', 'PF08876', 'PF08914', 'PF08965', 'PF09012', 'PF09035', 'PF09039', 'PF09048', 'PF09079', 'PF09105', 'PF09106', 'PF09107', 'PF09111', 'PF09114', 'PF09170', 'PF09182', 'PF09197', 'PF09202', 'PF09278', 'PF09339', 'PF09382', 'PF09397', 'PF09402', 'PF09468', 'PF09494', 'PF09507', 'PF09607', 'PF09639', 'PF09645', 'PF09681', 'PF09734', 'PF09756', 'PF09824', 'PF09862', 'PF09904', 'PF10007', 'PF10075', 'PF10078', 'PF10134', 'PF10264', 'PF10357', 'PF10390', 'PF10400', 'PF10405', 'PF10416', 'PF10523', 'PF10545', 'PF10557', 'PF10668', 'PF10711', 'PF10771', 'PF10826', 'PF10975', 'PF11313', 'PF11357', 'PF11362', 'PF11427', 'PF11569', 'PF11625', 'PF11972', 'PF11994', 'PF12116', 'PF12181', 'PF12298', 'PF12323', 'PF12324', 'PF12645', 'PF12659', 'PF12728', 'PF12759', 'PF12776', 'PF12793', 'PF12802', 'PF12824', 'PF12833', 'PF12840', 'PF12844', 'PF12872', 'PF12964', 'PF12976', 'PF13011', 'PF13022', 'PF13034', 'PF13048', 'PF13276', 'PF13309', 'PF13325', 'PF13338', 'PF13384', 'PF13404', 'PF13411', 'PF13412', 'PF13413', 'PF13443', 'PF13463', 'PF13518', 'PF13542', 'PF13545', 'PF13551', 'PF13556', 'PF13560', 'PF13565', 'PF13591', 'PF13592', 'PF13601', 'PF13613', 'PF13693', 'PF13725', 'PF13730', 'PF13744', 'PF13814', 'PF13835', 'PF13837', 'PF13873', 'PF13921', 'PF13936', 'PF14090', 'PF14122', 'PF14277', 'PF14297', 'PF14337', 'PF14338', 'PF14394', 'PF14465', 'PF14493', 'PF14502', 'PF14549', 'PF14557', 'PF14590', 'PF14630', 'PF14705', 'PF14947', 'PF15731', 'PF15943', 'PF15963', 'PF15977', 'PF15978', 'PF16007', 'PF16064', 'PF16087', 'PF16221', 'PF16264', 'PF16282', 'PF16365', 'PF16509', 'PF16553', 'PF16557', 'PF16677', 'PF16679', 'PF16858', 'PF16864', 'PF16902', 'PF17007', 'PF17176', 'PF17194', 'PF17443', 'PF17538', 'PF17726', 'PF17728', 'PF17761', 'PF17762', 'PF17778', 'PF17779', 'PF17782', 'PF17783', 'PF17906', 'PF17987', 'PF18010', 'PF18024', 'PF18090', 'PF18107', 'PF18114', 'PF18118', 'PF18121', 'PF18137', 'PF18196', 'PF18262', 'PF18263', 'PF18284', 'PF18375', 'PF18386', 'PF18420', 'PF18430', 'PF18486', 'PF18503', 'PF18530', 'PF18552', 'PF18553', 'PF18554', 'PF18558', 'PF18576', 'PF18579', 'PF18580', 'PF18606', 'PF18607', 'PF18622', 'PF18662', 'PF18679', 'PF18685', 'PF19121', 'PF19187', 'PF19368', 'PF19570', 'PF19575', 'PF19687', 'PF19776', 'PF19889', 'PF20024', 'PF20038', 'PF20063', 'PF20075', 'PF20159', 'PF20292', 'PF20293', 'PF20295', 'PF20310', 'PF20317', 'PF20432', 'PF20470', 'PF20514', 'PF20552', 'PF20575', 'PF20714', 'PF20901', 'PF20987', 'PF21084', 'PF21095', 'PF21100', 'PF21117', 'PF21120', 'PF21128', 'PF21136', 'PF21179', 'PF21185', 'PF21198', 'PF21205', 'PF21206', 'PF21212', 'PF21213', 'PF21214', 'PF21220', 'PF21221', 'PF21224', 'PF21227', 'PF21229', 'PF21233', 'PF21247', 'PF21248', 'PF21291', 'PF21296', 'PF21312', 'PF21315', 'PF21320', 'PF21321', 'PF21392', 'PF21434', 'PF21438', 'PF21441', 'PF21458', 'PF21459', 'PF21476', 'PF21517', 'PF21518', 'PF21524', 'PF21531', 'PF21552', 'PF21559', 'PF21580', 'PF21632', 'PF21690', 'PF21715', 'PF21716', 'PF21782', 'PF21796']","['PF00157', 'PF00292', 'PF00447', 'PF00538', 'PF00605', 'PF01035', 'PF01084', 'PF01090', 'PF01285', 'PF01454', 'PF01873', 'PF01922', 'PF02002', 'PF02022', 'PF02186', 'PF02257', 'PF02270', 'PF02295', 'PF02319', 'PF02376', 'PF02437', 'PF02787', 'PF02978', 'PF03221', 'PF03297', 'PF03399', 'PF03484', 'PF03501', 'PF03962', 'PF04157', 'PF04182', 'PF04218', 'PF04433', 'PF04814', 'PF05044', 'PF05066', 'PF05158', 'PF05181', 'PF05225', 'PF05383', 'PF05645', 'PF05793', 'PF05871', 'PF06413', 'PF06969', 'PF07106', 'PF07160', 'PF07574', 'PF08221', 'PF08672', 'PF08784', 'PF08839', 'PF08914', 'PF09079', 'PF09111', 'PF09170', 'PF09202', 'PF09382', 'PF09402', 'PF09468', 'PF09494', 'PF09507', 'PF09607', 'PF09734', 'PF09756', 'PF10075', 'PF10264', 'PF10357', 'PF10390', 'PF10405', 'PF10523', 'PF10557', 'PF11357', 'PF11569', 'PF12872', 'PF13325', 'PF13725', 'PF13837', 'PF13873', 'PF14465', 'PF14493', 'PF14630', 'PF14705', 'PF15963', 'PF16282', 'PF16553', 'PF16557', 'PF16679', 'PF16858', 'PF16864', 'PF17778', 'PF17906', 'PF18114', 'PF18118', 'PF18121', 'PF18137', 'PF18262', 'PF18263', 'PF18375', 'PF18386', 'PF18420', 'PF18486', 'PF18503', 'PF18552', 'PF18553', 'PF18554', 'PF18580', 'PF18606', 'PF19687', 'PF20470', 'PF20514']"
CL0124,"['PF00089', 'PF00548', 'PF00863', 'PF00944', 'PF00947', 'PF00949', 'PF01577', 'PF01732', 'PF02122', 'PF02395', 'PF02907', 'PF03510', 'PF03761', 'PF05409', 'PF05416', 'PF05578', 'PF05579', 'PF05580', 'PF08192', 'PF09342', 'PF10459', 'PF12380', 'PF12381', 'PF13365', 'PF13611', 'PF17222']",[]
CL0125,"['PF00112', 'PF00443', 'PF00648', 'PF00770', 'PF00797', 'PF00851', 'PF00877', 'PF01088', 'PF01640', 'PF01707', 'PF01830', 'PF01831', 'PF01841', 'PF02099', 'PF02338', 'PF02902', 'PF03051', 'PF03412', 'PF03416', 'PF03543', 'PF03569', 'PF03835', 'PF04473', 'PF04843', 'PF04970', 'PF05023', 'PF05053', 'PF05257', 'PF05379', 'PF05381', 'PF05382', 'PF05407', 'PF05408', 'PF05410', 'PF05411', 'PF05412', 'PF05413', 'PF05415', 'PF05533', 'PF05543', 'PF05708', 'PF05903', 'PF06035', 'PF06672', 'PF06940', 'PF07313', 'PF07910', 'PF08715', 'PF08795', 'PF09017', 'PF09028', 'PF09641', 'PF09764', 'PF09778', 'PF09916', 'PF10030', 'PF10275', 'PF11814', 'PF12385', 'PF12386', 'PF12671', 'PF13369', 'PF13423', 'PF13471', 'PF13529', 'PF14113', 'PF14381', 'PF14399', 'PF14822', 'PF15499', 'PF15643', 'PF15644', 'PF15645', 'PF16218', 'PF16374', 'PF16683', 'PF18626', 'PF19049', 'PF20085', 'PF20900', 'PF21327', 'PF21435', 'PF21646', 'PF21819']","['PF00797', 'PF01088', 'PF02099', 'PF02338', 'PF03051', 'PF03416', 'PF03835', 'PF04970', 'PF05053', 'PF05903', 'PF07910', 'PF09764', 'PF09778', 'PF10275', 'PF13369', 'PF13423', 'PF14822', 'PF15499', 'PF16218']"
CL0126,"['PF00413', 'PF01400', 'PF01401', 'PF01421', 'PF01431', 'PF01432', 'PF01433', 'PF01434', 'PF01435', 'PF01447', 'PF01457', 'PF01742', 'PF01752', 'PF01863', 'PF02031', 'PF02074', 'PF02102', 'PF02128', 'PF02130', 'PF02163', 'PF02868', 'PF03571', 'PF04228', 'PF04298', 'PF04450', 'PF05299', 'PF05547', 'PF05548', 'PF05569', 'PF05572', 'PF05960', 'PF06114', 'PF06167', 'PF06262', 'PF07607', 'PF07737', 'PF07998', 'PF08014', 'PF08325', 'PF09471', 'PF09768', 'PF10023', 'PF10026', 'PF10103', 'PF10263', 'PF10460', 'PF10462', 'PF10463', 'PF11350', 'PF11667', 'PF12044', 'PF12315', 'PF12388', 'PF12725', 'PF13058', 'PF13203', 'PF13398', 'PF13402', 'PF13485', 'PF13574', 'PF13582', 'PF13583', 'PF13678', 'PF13688', 'PF13699', 'PF13933', 'PF14247', 'PF14521', 'PF14891', 'PF15887', 'PF15890', 'PF16313', 'PF18818', 'PF18894', 'PF18958', 'PF20565', 'PF20573']","['PF01400', 'PF01401', 'PF01431', 'PF01432', 'PF01434', 'PF01457', 'PF02130', 'PF03571', 'PF05572', 'PF07998', 'PF08014', 'PF09768', 'PF10263', 'PF13402']"
CL0127,"['PF00378', 'PF00574', 'PF01039', 'PF01343', 'PF01972', 'PF03255', 'PF03572', 'PF06833', 'PF08496', 'PF16113']","['PF00574', 'PF01039', 'PF16113']"
CL0128,"['PF00092', 'PF00362', 'PF01882', 'PF03731', 'PF03850', 'PF04056', 'PF04285', 'PF04811', 'PF05762', 'PF06707', 'PF07002', 'PF09967', 'PF10138', 'PF11265', 'PF11775', 'PF12194', 'PF13519', 'PF13768', 'PF19997', 'PF20782']","['PF00362', 'PF03731', 'PF03850', 'PF04056', 'PF04811', 'PF07002', 'PF11265', 'PF13768']"
CL0129,"['PF00026', 'PF00077', 'PF02160', 'PF03539', 'PF05585', 'PF05618', 'PF08284', 'PF09668', 'PF12382', 'PF12384', 'PF13650', 'PF13975', 'PF14541', 'PF14543', 'PF20729']","['PF00077', 'PF09668']"
CL0130,"['PF01080', 'PF01478', 'PF04258', 'PF06550']","['PF01080', 'PF04258']"
CL0131,"['PF02077', 'PF04173', 'PF04224', 'PF05477', 'PF05514', 'PF06762', 'PF07291', 'PF07681', 'PF13564', 'PF13781', 'PF15111']","['PF02077', 'PF05477', 'PF06762', 'PF13564', 'PF15111']"
CL0132,"['PF02381', 'PF04014', 'PF09612', 'PF14250', 'PF15937']",[]
CL0133,"['PF03087', 'PF05055', 'PF05633']",[]
CL0135,"['PF00339', 'PF02752', 'PF03643', 'PF04425', 'PF07070', 'PF08737', 'PF13002']","['PF00339', 'PF02752', 'PF03643', 'PF08737']"
CL0136,"['PF02604', 'PF04365', 'PF05015', 'PF05016', 'PF05973', 'PF06296', 'PF06769', 'PF10047', 'PF10715', 'PF11663', 'PF12910', 'PF14076', 'PF15723', 'PF15738', 'PF15781', 'PF18389']",[]
CL0137,"['PF00702', 'PF01368', 'PF02358', 'PF03031', 'PF03332', 'PF03690', 'PF03767', 'PF05116', 'PF05152', 'PF05761', 'PF05822', 'PF06888', 'PF06941', 'PF08235', 'PF08282', 'PF08645', 'PF09419', 'PF09949', 'PF11019', 'PF12689', 'PF12710', 'PF13242', 'PF13246', 'PF13344', 'PF13419', 'PF16212', 'PF21141']","['PF01368', 'PF03031', 'PF03332', 'PF03690', 'PF05761', 'PF05822', 'PF06888', 'PF06941', 'PF08235', 'PF12689', 'PF13344', 'PF16212']"
CL0139,"['PF00742', 'PF01658', 'PF01958', 'PF02774', 'PF02781', 'PF02800', 'PF02894', 'PF05173', 'PF08436', 'PF08635', 'PF09166', 'PF09290', 'PF16490', 'PF16653', 'PF16654', 'PF19051', 'PF19858', 'PF20171', 'PF21252']","['PF01658', 'PF01958', 'PF02781', 'PF02800', 'PF09166', 'PF16653']"
CL0140,"['PF01623', 'PF04808', 'PF05515']",[]
CL0141,"['PF00810', 'PF03083', 'PF03650', 'PF04193', 'PF07578']","['PF03650', 'PF04193']"
CL0142,"['PF00950', 'PF01032', 'PF01098', 'PF02653', 'PF05145', 'PF06912', 'PF08566']",[]
CL0143,"['PF00251', 'PF02435', 'PF03664', 'PF04041', 'PF04616', 'PF06079', 'PF08950', 'PF13810', 'PF14517', 'PF16396', 'PF17312', 'PF21311']",[]
CL0028,"['PF00135', 'PF00151', 'PF00326', 'PF00450', 'PF00561', 'PF00756', 'PF00975', 'PF01083', 'PF01674', 'PF01738', 'PF01764', 'PF02089', 'PF02129', 'PF02230', 'PF02273', 'PF02450', 'PF03096', 'PF03283', 'PF03403', 'PF03583', 'PF03893', 'PF03959', 'PF04083', 'PF04301', 'PF05057', 'PF05277', 'PF05448', 'PF05576', 'PF05577', 'PF05677', 'PF05705', 'PF05728', 'PF05990', 'PF06028', 'PF06057', 'PF06259', 'PF06342', 'PF06441', 'PF06500', 'PF06821', 'PF06850', 'PF07082', 'PF07167', 'PF07176', 'PF07224', 'PF07519', 'PF07819', 'PF07859', 'PF08237', 'PF08386', 'PF08538', 'PF08840', 'PF09752', 'PF09994', 'PF10081', 'PF10142', 'PF10230', 'PF10340', 'PF10503', 'PF10561', 'PF10605', 'PF11144', 'PF11187', 'PF11288', 'PF11339', 'PF12048', 'PF12146', 'PF12695', 'PF12697', 'PF12715', 'PF12740', 'PF16929', 'PF19878', 'PF20091', 'PF20408', 'PF20434', 'PF20591', 'PF21498']","['PF00151', 'PF00450', 'PF01738', 'PF02230', 'PF02450', 'PF03096', 'PF03283', 'PF03403', 'PF03959', 'PF04083', 'PF05057', 'PF05277', 'PF05577', 'PF05705', 'PF06821', 'PF07819', 'PF08840', 'PF09752', 'PF10230', 'PF10561', 'PF20408']"
CL0052,"['PF00227', 'PF00310', 'PF01019', 'PF01112', 'PF01804', 'PF02275', 'PF03417', 'PF03577', 'PF04916', 'PF05742', 'PF07826', 'PF09147', 'PF10584', 'PF12481', 'PF13230', 'PF13522', 'PF13537']","['PF01112', 'PF02275', 'PF03577', 'PF04916', 'PF05742', 'PF10584', 'PF13537']"
CL0073,"['PF00554', 'PF00853', 'PF00870', 'PF00907', 'PF02864', 'PF05224', 'PF07887', 'PF08527', 'PF09271', 'PF09287']","['PF00554', 'PF00853', 'PF00870', 'PF02864', 'PF05224', 'PF08527', 'PF09271']"
CL0097,"['PF03519', 'PF03987', 'PF05932', 'PF07824', 'PF10061', 'PF10722', 'PF20446', 'PF21665']",['PF03987']
CL0122,"['PF01947', 'PF04345', 'PF07702', 'PF12143']",[]
CL0144,"['PF00532', 'PF01094', 'PF02608', 'PF04348', 'PF04392', 'PF12683', 'PF13377', 'PF13407', 'PF13433', 'PF13458', 'PF18610']",[]
CL0169,"['PF00799', 'PF01076', 'PF01446', 'PF01719', 'PF02217', 'PF02407', 'PF03389', 'PF03432', 'PF05840', 'PF07232', 'PF08724', 'PF08751', 'PF12433', 'PF18555', 'PF20450']",[]
CL0192,"['PF00001', 'PF00002', 'PF00003', 'PF01036', 'PF01534', 'PF02076', 'PF02101', 'PF02117', 'PF02118', 'PF02175', 'PF03006', 'PF03125', 'PF03383', 'PF03402', 'PF03619', 'PF04080', 'PF04789', 'PF05296', 'PF05462', 'PF05875', 'PF06454', 'PF06681', 'PF06814', 'PF07695', 'PF07698', 'PF10160', 'PF10192', 'PF10292', 'PF10316', 'PF10317', 'PF10318', 'PF10319', 'PF10320', 'PF10321', 'PF10322', 'PF10323', 'PF10324', 'PF10325', 'PF10326', 'PF10327', 'PF10328', 'PF11710', 'PF11970', 'PF12036', 'PF12271', 'PF13853', 'PF13965', 'PF15100', 'PF16927', 'PF17158', 'PF17159', 'PF18761', 'PF20684']","['PF01534', 'PF02101', 'PF03006', 'PF04080', 'PF05296', 'PF05875', 'PF10160', 'PF10192', 'PF12036', 'PF13965', 'PF15100']"
CL0214,"['PF00627', 'PF02845', 'PF03474', 'PF03765', 'PF03943', 'PF06972', 'PF07223', 'PF07499', 'PF08587', 'PF08938', 'PF09145', 'PF09288', 'PF10440', 'PF11547', 'PF14555', 'PF16577', 'PF16678', 'PF18039', 'PF18091', 'PF18561', 'PF19026', 'PF20741', 'PF21115', 'PF21147', 'PF21235', 'PF21267', 'PF21290', 'PF21594']","['PF02845', 'PF03474', 'PF03765', 'PF03943', 'PF08938', 'PF11547', 'PF16577', 'PF16678', 'PF18039', 'PF18091', 'PF18561', 'PF19026']"
CL0237,"['PF00233', 'PF01966', 'PF05153', 'PF07514', 'PF08668', 'PF12252', 'PF12917', 'PF13023', 'PF13328', 'PF13487', 'PF13735', 'PF13875', 'PF18019', 'PF21447', 'PF21697']","['PF05153', 'PF13023']"
CL0261,"['PF00293', 'PF03559', 'PF09296', 'PF11788', 'PF13869', 'PF14815', 'PF15916', 'PF16262', 'PF16705', 'PF18290']","['PF09296', 'PF11788', 'PF13869', 'PF14815', 'PF16705', 'PF18290']"
CL0282,"['PF00273', 'PF09164']","['PF00273', 'PF09164']"
CL0304,"['PF00072', 'PF00919', 'PF01058', 'PF03709', 'PF06490', 'PF09456', 'PF16359', 'PF16968', 'PF19192', 'PF19864', 'PF20161', 'PF20274', 'PF20299', 'PF21155', 'PF21194', 'PF21332', 'PF21695', 'PF21714']","['PF00919', 'PF01058']"
CL0327,"['PF00114', 'PF01917', 'PF02501', 'PF05307', 'PF05946', 'PF07419', 'PF08334', 'PF08805', 'PF11530', 'PF11612', 'PF12019', 'PF16732', 'PF16734', 'PF18223', 'PF18682', 'PF21444']",[]
CL0349,"['PF02481', 'PF03641', 'PF06908', 'PF10686', 'PF11892', 'PF12694', 'PF18139', 'PF18163', 'PF18171', 'PF18178', 'PF18180', 'PF18185', 'PF18306']",['PF18139']
CL0370,"['PF01099', 'PF09252', 'PF20490']","['PF01099', 'PF20490']"
CL0395,"['PF01167', 'PF03803', 'PF04525', 'PF12043', 'PF12396', 'PF21784', 'PF21785']","['PF01167', 'PF03803']"
CL0416,"['PF02714', 'PF04547', 'PF07810']","['PF02714', 'PF04547', 'PF07810']"
CL0441,"['PF01918', 'PF04232', 'PF04326', 'PF12328']","['PF01918', 'PF04326', 'PF12328']"
CL0470,"['PF06738', 'PF12821']",[]
CL0494,"['PF02033', 'PF11490', 'PF11638']",['PF02033']
CL0521,"['PF01105', 'PF13897']","['PF01105', 'PF13897']"
CL0543,"['PF00869', 'PF01561', 'PF01589', 'PF03563', 'PF05748', 'PF06656', 'PF07245', 'PF14884']",[]
CL0573,"['PF02149', 'PF03822', 'PF14303', 'PF16579', 'PF21122']",['PF16579']
CL0600,"['PF00312', 'PF00458', 'PF00600', 'PF02942', 'PF21643']","['PF00312', 'PF00458']"
CL0621,"['PF01114', 'PF02740', 'PF06607', 'PF21479', 'PF21481']","['PF01114', 'PF02740', 'PF06607']"
CL0644,"['PF01153', 'PF01392', 'PF03024', 'PF16414']","['PF01153', 'PF03024', 'PF16414']"
CL0665,"['PF17035', 'PF17793']","['PF17035', 'PF17793']"
CL0686,"['PF18723', 'PF18724', 'PF18746']",[]
CL0707,"['PF02199', 'PF03489', 'PF05184', 'PF20145', 'PF20825']","['PF02199', 'PF03489', 'PF05184', 'PF20145']"
CL0729,"['PF15556', 'PF17097', 'PF20882', 'PF20883']",['PF15556']
CL0751,"['PF07660', 'PF10671', 'PF16344', 'PF16816', 'PF21304', 'PF21305']",[]
CL0145,"['PF00611', 'PF03114', 'PF06456', 'PF06730', 'PF08397', 'PF09325', 'PF10455', 'PF10456', 'PF12240', 'PF13805', 'PF16746', 'PF20400']","['PF03114', 'PF06456', 'PF06730', 'PF08397', 'PF09325', 'PF10456', 'PF12240']"
CL0146,"['PF03554', 'PF05702']",[]
CL0147,"['PF03908', 'PF05008', 'PF12352']","['PF03908', 'PF05008']"
CL0148,"['PF00607', 'PF02023', 'PF02093', 'PF03276', 'PF19317', 'PF20672', 'PF20673', 'PF21395']","['PF00607', 'PF19317']"
CL0149,"['PF00198', 'PF00302', 'PF00668', 'PF00755', 'PF02458', 'PF03007', 'PF07247', 'PF07428', 'PF16911']","['PF00198', 'PF00755']"
CL0153,"['PF00692', 'PF04797', 'PF05784', 'PF06088', 'PF06284', 'PF06501', 'PF06559']",['PF00692']
